timestamp,operation,image_height,image_width,kernel_size,method,runtime
2026-05-13T11:22:55,gaussian,1024,1024,15,fft,0.14629320000040025
2026-05-13T11:22:55,sobel,1024,1024,3,spatial,0.1399119999996401
2026-05-13T11:23:01,gaussian,1024,1024,5,spatial,1.755120299999362
2026-05-13T11:23:01,sharpen,1024,1024,3,spatial,0.2517594000000827
2026-05-13T11:23:02,gaussian,1024,1024,15,fft,1.0320259000000078
2026-05-13T11:23:02,sobel,1024,1024,3,spatial,0.11941840000054071
2026-05-13T11:23:02,gaussian,256,256,5,spatial,0.007969099999172613
2026-05-13T11:23:02,sharpen,256,256,3,spatial,0.0036341000004540547
2026-05-13T11:23:02,gaussian,256,256,15,fft,0.002591999999822292
2026-05-13T11:23:02,sobel,256,256,3,spatial,0.007341499999711232
2026-05-13T11:23:02,gaussian,256,256,5,spatial,0.007288599999810685
2026-05-13T11:23:02,sharpen,256,256,3,spatial,0.003855999999359483
2026-05-13T11:23:02,gaussian,256,256,15,fft,0.004112700000405312
2026-05-13T11:23:03,sobel,256,256,3,spatial,0.011415400000259979
2026-05-13T11:23:03,gaussian,256,256,5,spatial,0.015519300000050862
2026-05-13T11:23:03,sharpen,256,256,3,spatial,0.004662600000301609
2026-05-13T11:23:03,gaussian,256,256,15,fft,0.004739099999824248
2026-05-13T11:23:03,sobel,256,256,3,spatial,0.012837199999921722
2026-05-13T11:23:03,gaussian,512,512,5,spatial,0.029825200000232144
2026-05-13T11:23:03,sharpen,512,512,3,spatial,0.015262900000379886
2026-05-13T11:23:03,gaussian,512,512,15,fft,0.045769299999847135
2026-05-13T11:23:03,sobel,512,512,3,spatial,0.03599289999965549
2026-05-13T11:23:04,gaussian,512,512,5,spatial,0.031158000000687025
2026-05-13T11:23:04,sharpen,512,512,3,spatial,0.013103400000545662
2026-05-13T11:23:04,gaussian,512,512,15,fft,0.030431700000008277
2026-05-13T11:23:04,sobel,512,512,3,spatial,0.03393390000019281
2026-05-13T11:23:04,gaussian,512,512,5,spatial,0.015730999999505002
2026-05-13T11:23:04,sharpen,512,512,3,spatial,0.015458899999430287
2026-05-13T11:23:04,gaussian,512,512,15,fft,0.04358330000013666
2026-05-13T11:23:04,sobel,512,512,3,spatial,0.03676230000019132
2026-05-13T11:23:06,gaussian,1024,1024,5,spatial,0.0889526000000842
2026-05-13T11:23:06,sharpen,1024,1024,3,spatial,0.04722440000023198
2026-05-13T11:23:06,gaussian,1024,1024,15,fft,0.13515540000025794
2026-05-13T11:23:06,sobel,1024,1024,3,spatial,0.10081309999986843
2026-05-13T11:23:08,gaussian,1024,1024,5,spatial,0.11069310000038968
2026-05-13T11:23:08,sharpen,1024,1024,3,spatial,0.05795820000003005
2026-05-13T11:23:08,gaussian,1024,1024,15,fft,0.13481580000006943
2026-05-13T11:23:08,sobel,1024,1024,3,spatial,0.08837359999961336
2026-05-13T11:23:10,gaussian,1024,1024,5,spatial,0.10409370000070339
2026-05-13T11:23:10,sharpen,1024,1024,3,spatial,0.05768389999957435
2026-05-13T11:23:10,gaussian,1024,1024,15,fft,0.15201810000053229
2026-05-13T11:23:10,sobel,1024,1024,3,spatial,0.13259279999965656
2026-05-13T11:23:27,gaussian,256,256,5,spatial,0.006757099999958882
2026-05-13T11:23:27,sharpen,256,256,3,spatial,0.004275399999642104
2026-05-13T11:23:27,gaussian,256,256,15,fft,0.005473399999573303
2026-05-13T11:23:27,sobel,256,256,3,spatial,0.010920799999439623
2026-05-13T11:23:28,gaussian,512,512,5,spatial,0.03380180000021937
2026-05-13T11:23:28,sharpen,512,512,3,spatial,0.022261000000071363
2026-05-13T11:23:28,gaussian,512,512,15,fft,0.028057300000000396
2026-05-13T11:23:28,sobel,512,512,3,spatial,0.032035000000178115
2026-05-13T11:23:29,gaussian,1024,1024,5,spatial,0.07920079999985319
2026-05-13T11:23:29,sharpen,1024,1024,3,spatial,0.06142999999974563
2026-05-13T11:23:29,gaussian,1024,1024,15,fft,0.1588766000004398
2026-05-13T11:23:30,sobel,1024,1024,3,spatial,0.1160003000004508
2026-05-13T11:23:30,gaussian,256,256,5,spatial,0.004815799999960291
2026-05-13T11:23:30,sharpen,256,256,3,spatial,0.0024050999991231947
2026-05-13T11:23:30,gaussian,256,256,15,fft,0.003411699999560369
2026-05-13T11:23:30,sobel,256,256,3,spatial,0.007193999999799416
2026-05-13T11:23:30,gaussian,512,512,5,spatial,0.021745900000496476
2026-05-13T11:23:30,sharpen,512,512,3,spatial,0.01347159999932046
2026-05-13T11:23:30,gaussian,512,512,15,fft,0.05973249999988184
2026-05-13T11:23:30,sobel,512,512,3,spatial,0.03222940000068775
2026-05-13T11:23:32,gaussian,1024,1024,5,spatial,0.1369435999995403
2026-05-13T11:23:32,sharpen,1024,1024,3,spatial,0.06369450000056531
2026-05-13T11:23:32,gaussian,1024,1024,15,fft,0.17615849999947386
2026-05-13T11:23:32,sobel,1024,1024,3,spatial,0.12987759999941773
2026-05-13T11:23:32,gaussian,256,256,5,spatial,0.007358700000622775
2026-05-13T11:23:32,sharpen,256,256,3,spatial,0.003747300000213727
2026-05-13T11:23:32,gaussian,256,256,15,fft,0.008843399999932444
2026-05-13T11:23:32,sobel,256,256,3,spatial,0.017179200000100536
2026-05-13T11:23:33,gaussian,512,512,5,spatial,0.07197619999988092
2026-05-13T11:23:33,sharpen,512,512,3,spatial,0.02721529999962513
2026-05-13T11:23:33,gaussian,512,512,15,fft,0.08778060000076948
2026-05-13T11:23:33,sobel,512,512,3,spatial,0.030778100000134145
2026-05-13T11:23:35,gaussian,1024,1024,5,spatial,0.07498300000042946
2026-05-13T11:23:35,sharpen,1024,1024,3,spatial,0.07324829999924987
2026-05-13T11:23:35,gaussian,1024,1024,15,fft,0.19062020000001212
2026-05-13T11:23:35,sobel,1024,1024,3,spatial,0.13058160000036878
